State,Total_kg_2021,Total_kg_2023,Total_kg_2024
Arizona,1465.65245211975,6105.97140932069,6242.23608794752
California,4328.75024378534,6174.96794226322,3395.39671817878
Florida,2.28795786252265,37.1461894849237,17.2373899855449
Georgia,0,4.45599999626324,5.81949999511982
Illinois,154.12777987075,132.589369888812,152.656489871984
Louisiana,184.373045011843,48.0691789842648,32.970320007745
Maine,0.040551157878,0.186789337966,0
Maryland,12.0289999899126,10.2724299913856,3.42084999713131
Massachusetts,0.0828999999304809,0.0213999999820542,0.999399999161913
Michigan,1.37475999884714,1.31343168454416,35.5311400616336
Montana,0.173499081525,0.04399845989,1.207735044362
New York,20.1950299830646,33.8174335929899,15.1113929269357
Oregon,0.00269999999773581,0,0
Texas,1343.72551407329,393.110979947679,536.9298328999
Vermont,0.204842314292,0.003991612856,0.186834697203
Washington,10.7200876630981,0.44073868295027,14.3990168544702
