FY,Month (abbv),Component,Region,Land Filter,Area of Responsibility,Drug Type,Count of Event,Sum Qty (lbs)
2023,SEP,Office of Field Operations,Coastal/Interior,Other,CHICAGO FIELD OFFICE,Lsd,12,0.0650584135162
2023,SEP,Office of Field Operations,Coastal/Interior,Other,CHICAGO FIELD OFFICE,Marijuana,377,2992.450884616372
2023,SEP,Office of Field Operations,Coastal/Interior,Other,CHICAGO FIELD OFFICE,Methamphetamine,32,267.2542968444162
2023,SEP,Office of Field Operations,Coastal/Interior,Other,CHICAGO FIELD OFFICE,Other Drugs**,210,439.0215378468684
2023,SEP,Office of Field Operations,Coastal/Interior,Other,HOUSTON FIELD OFFICE,Cocaine,2,12.35029591724
2023,SEP,Office of Field Operations,Coastal/Interior,Other,HOUSTON FIELD OFFICE,Ketamine,1,7.5618555866
2023,SEP,Office of Field Operations,Coastal/Interior,Other,HOUSTON FIELD OFFICE,Marijuana,20,15.7253967786504
2023,SEP,Office of Field Operations,Coastal/Interior,Other,HOUSTON FIELD OFFICE,Other Drugs**,19,19.5400552980364
2023,SEP,Office of Field Operations,Coastal/Interior,Other,LOS ANGELES FIELD OFFICE,Cocaine,5,16.96567337221
2023,SEP,Office of Field Operations,Coastal/Interior,Other,LOS ANGELES FIELD OFFICE,Ecstasy,12,1.052486838788
2023,SEP,Office of Field Operations,Coastal/Interior,Other,LOS ANGELES FIELD OFFICE,Ketamine,9,53.241415810738005
2023,SEP,Office of Field Operations,Coastal/Interior,Other,LOS ANGELES FIELD OFFICE,Lsd,2,0.016755131912
2023,SEP,Office of Field Operations,Coastal/Interior,Other,LOS ANGELES FIELD OFFICE,Marijuana,29,563.636685038606
2023,SEP,Office of Field Operations,Coastal/Interior,Other,LOS ANGELES FIELD OFFICE,Methamphetamine,33,368.0174334943381
2023,SEP,Office of Field Operations,Coastal/Interior,Other,LOS ANGELES FIELD OFFICE,Other Drugs**,186,1590.172910966586
2023,SEP,Office of Field Operations,Coastal/Interior,Other,MIAMI FIELD OFFICE,Cocaine,16,57.138747678374
2023,SEP,Office of Field Operations,Coastal/Interior,Other,MIAMI FIELD OFFICE,Ecstasy,3,0.193786328298
2023,SEP,Office of Field Operations,Coastal/Interior,Other,MIAMI FIELD OFFICE,Fentanyl,1,1.322773572
2023,SEP,Office of Field Operations,Coastal/Interior,Other,MIAMI FIELD OFFICE,Ketamine,9,53.632515863526
2023,SEP,Office of Field Operations,Coastal/Interior,Other,MIAMI FIELD OFFICE,Lsd,1,0.00220462262
2023,SEP,Office of Field Operations,Coastal/Interior,Other,MIAMI FIELD OFFICE,Marijuana,69,516.9976289577916
2023,SEP,Office of Field Operations,Coastal/Interior,Other,MIAMI FIELD OFFICE,Methamphetamine,4,0.45525457103
2023,SEP,Office of Field Operations,Coastal/Interior,Other,MIAMI FIELD OFFICE,Other Drugs**,463,434.0127234391332
2023,SEP,Office of Field Operations,Coastal/Interior,Other,NEW ORLEANS FIELD OFFICE,Cocaine,7,10.203213947622
2023,SEP,Office of Field Operations,Coastal/Interior,Other,NEW ORLEANS FIELD OFFICE,Ecstasy,1,4.519476371
2023,SEP,Office of Field Operations,Coastal/Interior,Other,NEW ORLEANS FIELD OFFICE,Fentanyl,1,0.213627931878
2023,SEP,Office of Field Operations,Coastal/Interior,Other,NEW ORLEANS FIELD OFFICE,Ketamine,9,31.685056756902
2023,SEP,Office of Field Operations,Coastal/Interior,Other,NEW ORLEANS FIELD OFFICE,Lsd,1,2.20462262e-05
2023,SEP,Office of Field Operations,Coastal/Interior,Other,NEW ORLEANS FIELD OFFICE,Marijuana,142,944.369279493794
2023,SEP,Office of Field Operations,Coastal/Interior,Other,NEW ORLEANS FIELD OFFICE,Methamphetamine,15,230.363883573206
2023,SEP,Office of Field Operations,Coastal/Interior,Other,NEW ORLEANS FIELD OFFICE,Other Drugs**,73,324.8081970083624
2023,SEP,Office of Field Operations,Coastal/Interior,Other,NEW YORK FIELD OFFICE,Cocaine,16,26.868397256726
2023,SEP,Office of Field Operations,Coastal/Interior,Other,NEW YORK FIELD OFFICE,Ecstasy,60,12.673934517856
2023,SEP,Office of Field Operations,Coastal/Interior,Other,NEW YORK FIELD OFFICE,Heroin,6,0.04519476371
2023,SEP,Office of Field Operations,Coastal/Interior,Other,NEW YORK FIELD OFFICE,Ketamine,34,268.1818036268764
2023,SEP,Office of Field Operations,Coastal/Interior,Other,NEW YORK FIELD OFFICE,Lsd,41,0.073634395508
2023,SEP,Office of Field Operations,Coastal/Interior,Other,NEW YORK FIELD OFFICE,Marijuana,30,138.1855033131118
2023,SEP,Office of Field Operations,Coastal/Interior,Other,NEW YORK FIELD OFFICE,Methamphetamine,9,9.980767525264
2023,SEP,Office of Field Operations,Coastal/Interior,Other,NEW YORK FIELD OFFICE,Other Drugs**,378,845.6176405223601
