"Notes","State","State Code","Year","Year Code",Deaths,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval
,"Hawaii","15","2023","2023",138,1435138,9.6,8.0,11.2
,"Hawaii","15","2024 ","2024",126,1446146,8.7,7.2,10.2
"Total","Hawaii","15",,,656,10006402,6.6,6.1,7.1
,"Idaho","16","2018","2018",126,1754208,7.2,5.9,8.4
,"Idaho","16","2019","2019",142,1787065,7.9,6.6,9.3
,"Idaho","16","2020","2020",162,1826913,8.9,7.5,10.2
,"Idaho","16","2021","2021",245,1900923,12.9,11.3,14.5
,"Idaho","16","2022","2022",276,1939033,14.2,12.6,15.9
,"Idaho","16","2023","2023",273,1964726,13.9,12.2,15.5
,"Idaho","16","2024 ","2024",213,2001619,10.6,9.2,12.1
"Total","Idaho","16",,,1437,13174487,10.9,10.3,11.5
,"Illinois","17","2018","2018",2215,12741080,17.4,16.7,18.1
,"Illinois","17","2019","2019",2281,12671821,18.0,17.3,18.7
,"Illinois","17","2020","2020",3014,12587530,23.9,23.1,24.8
,"Illinois","17","2021","2021",3103,12671469,24.5,23.6,25.3
,"Illinois","17","2022","2022",3229,12582032,25.7,24.8,26.5
,"Illinois","17","2023","2023",2948,12549689,23.5,22.6,24.3
,"Illinois","17","2024 ","2024",1916,12710158,15.1,14.4,15.7
"Total","Illinois","17",,,18706,88513779,21.1,20.8,21.4
,"Indiana","18","2018","2018",1142,6691878,17.1,16.1,18.1
,"Indiana","18","2019","2019",1296,6732219,19.3,18.2,20.3
,"Indiana","18","2020","2020",1960,6754953,29.0,27.7,30.3
,"Indiana","18","2021","2021",2263,6805985,33.3,31.9,34.6
,"Indiana","18","2022","2022",2120,6833037,31.0,29.7,32.3
,"Indiana","18","2023","2023",1734,6862199,25.3,24.1,26.5
,"Indiana","18","2024 ","2024",1204,6924275,17.4,16.4,18.4
"Total","Indiana","18",,,11719,47604546,24.6,24.2,25.1
,"Iowa","19","2018","2018",151,3156145,4.8,4.0,5.5
,"Iowa","19","2019","2019",174,3155070,5.5,4.7,6.3
,"Iowa","19","2020","2020",235,3163561,7.4,6.5,8.4
,"Iowa","19","2021","2021",266,3193079,8.3,7.3,9.3
,"Iowa","19","2022","2022",241,3200517,7.5,6.6,8.5
,"Iowa","19","2023","2023",260,3207004,8.1,7.1,9.1
,"Iowa","19","2024 ","2024",178,3241488,5.5,4.7,6.3
"Total","Iowa","19",,,1505,22316864,6.7,6.4,7.1
,"Kansas","20","2018","2018",168,2911505,5.8,4.9,6.6
,"Kansas","20","2019","2019",199,2913314,6.8,5.9,7.8
,"Kansas","20","2020","2020",278,2913805,9.5,8.4,10.7
,"Kansas","20","2021","2021",446,2934582,15.2,13.8,16.6
,"Kansas","20","2022","2022",523,2937150,17.8,16.3,19.3
,"Kansas","20","2023","2023",431,2940546,14.7,13.3,16.0
,"Kansas","20","2024 ","2024",366,2970606,12.3,11.1,13.6
"Total","Kansas","20",,,2411,20521508,11.7,11.3,12.2
,"Kentucky","21","2018","2018",1012,4468402,22.6,21.3,24.0
,"Kentucky","21","2019","2019",1063,4467673,23.8,22.4,25.2
,"Kentucky","21","2020","2020",1744,4477251,39.0,37.1,40.8
,"Kentucky","21","2021","2021",1927,4509394,42.7,40.8,44.6
,"Kentucky","21","2022","2022",1796,4512310,39.8,38.0,41.6
,"Kentucky","21","2023","2023",1663,4526154,36.7,35.0,38.5
,"Kentucky","21","2024 ","2024",1062,4588372,23.1,21.8,24.5
"Total","Kentucky","21",,,10267,31549556,32.5,31.9,33.2
,"Louisiana","22","2018","2018",465,4659978,10.0,9.1,10.9
,"Louisiana","22","2019","2019",581,4648794,12.5,11.5,13.5
,"Louisiana","22","2020","2020",975,4645318,21.0,19.7,22.3
,"Louisiana","22","2021","2021",1377,4624047,29.8,28.2,31.4
,"Louisiana","22","2022","2022",1403,4590241,30.6,29.0,32.2
,"Louisiana","22","2023","2023",1152,4573749,25.2,23.7,26.6
,"Louisiana","22","2024 ","2024",766,4597740,16.7,15.5,17.8
"Total","Louisiana","22",,,6719,32339867,20.8,20.3,21.3
,"Maine","23","2018","2018",287,1338404,21.4,19.0,23.9
,"Maine","23","2019","2019",325,1344212,24.2,21.5,26.8
,"Maine","23","2020","2020",429,1350141,31.8,28.8,34.8
,"Maine","23","2021","2021",552,1372247,40.2,36.9,43.6
,"Maine","23","2022","2022",632,1385340,45.6,42.1,49.2
,"Maine","23","2023","2023",521,1395722,37.3,34.1,40.5
,"Maine","23","2024 ","2024",390,1405012,27.8,25.0,30.5
"Total","Maine","23",,,3136,9591078,32.7,31.6,33.8
,"Maryland","24","2018","2018",2123,6042718,35.1,33.6,36.6
,"Maryland","24","2019","2019",2144,6045680,35.5,34.0,37.0
,"Maryland","24","2020","2020",2549,6055802,42.1,40.5,43.7
,"Maryland","24","2021","2021",2510,6165129,40.7,39.1,42.3
,"Maryland","24","2022","2022",2298,6164660,37.3,35.8,38.8
,"Maryland","24","2023","2023",2247,6180253,36.4,34.9,37.9
,"Maryland","24","2024 ","2024",1506,6263220,24.0,22.8,25.3
"Total","Maryland","24",,,15377,42917462,35.8,35.3,36.4
,"Massachusetts","25","2018","2018",2010,6902149,29.1,27.8,30.4
,"Massachusetts","25","2019","2019",1996,6892503,29.0,27.7,30.2
,"Massachusetts","25","2020","2020",2104,6893574,30.5,29.2,31.8
,"Massachusetts","25","2021","2021",2297,6984723,32.9,31.5,34.2
,"Massachusetts","25","2022","2022",2352,6981974,33.7,32.3,35.0
,"Massachusetts","25","2023","2023",2126,7001399,30.4,29.1,31.7
,"Massachusetts","25","2024 ","2024",1363,7136171,19.1,18.1,20.1
"Total","Massachusetts","25",,,14248,48792493,29.2,28.7,29.7
,"Michigan","26","2018","2018",2043,9995915,20.4,19.6,21.3
